ts,asset,dw,regime
2025-11-23T12:00:00+00:00,BTC,8.97256e-05,capitulation
2025-11-23T13:00:00+00:00,BNB,9.5597e-06,capitulation
2025-11-23T13:00:00+00:00,BTC,9.5597e-06,capitulation
2025-11-23T14:00:00+00:00,BNB,3.52408e-05,capitulation
2025-11-23T14:00:00+00:00,BTC,3.52408e-05,capitulation
2025-11-23T15:00:00+00:00,BNB,2.16065e-05,capitulation
2025-11-23T15:00:00+00:00,BTC,2.16065e-05,capitulation
2025-11-23T16:00:00+00:00,BNB,8.4535e-05,capitulation
2025-11-23T16:00:00+00:00,BTC,8.4535e-05,capitulation
2025-11-23T17:00:00+00:00,BNB,1.27627e-05,capitulation
2025-11-23T17:00:00+00:00,BTC,1.27627e-05,capitulation
2025-11-23T18:00:00+00:00,BNB,4.1431e-06,capitulation
2025-11-23T18:00:00+00:00,BTC,4.1431e-06,capitulation
2025-11-23T19:00:00+00:00,BNB,6.3837e-06,capitulation
2025-11-23T19:00:00+00:00,BTC,6.3837e-06,capitulation
2025-11-23T20:00:00+00:00,BNB,3.35606e-05,capitulation
2025-11-23T20:00:00+00:00,BTC,3.35606e-05,capitulation
2025-11-23T21:00:00+00:00,BNB,6.8333e-06,capitulation
2025-11-23T21:00:00+00:00,BTC,6.8333e-06,capitulation
2025-11-23T22:00:00+00:00,BNB,8.0378e-06,capitulation
2025-11-23T22:00:00+00:00,BTC,8.0378e-06,capitulation
2025-11-23T23:00:00+00:00,BNB,0.0001080347,capitulation
2025-11-23T23:00:00+00:00,BTC,0.0001080347,capitulation
2025-11-24T00:00:00+00:00,BNB,0.0003098739,capitulation
2025-11-24T00:00:00+00:00,BTC,0.0003098739,capitulation
2025-11-24T01:00:00+00:00,BNB,0.0063511551,capitulation
2025-11-24T01:00:00+00:00,BTC,0.0063511551,capitulation
2025-11-24T02:00:00+00:00,BNB,1.36646e-05,capitulation
2025-11-24T02:00:00+00:00,BTC,1.36646e-05,capitulation
2025-11-24T03:00:00+00:00,BNB,5.53144e-05,capitulation
2025-11-24T03:00:00+00:00,BTC,5.53144e-05,capitulation
2025-11-24T04:00:00+00:00,BNB,8.00121e-05,capitulation
2025-11-24T04:00:00+00:00,BTC,8.00121e-05,capitulation
2025-11-24T05:00:00+00:00,BNB,0.0001046498,capitulation
2025-11-24T05:00:00+00:00,BTC,0.0001046498,capitulation
2025-11-24T06:00:00+00:00,BNB,0.0001743973,capitulation
2025-11-24T06:00:00+00:00,BTC,0.0001743973,capitulation
2025-11-24T07:00:00+00:00,BNB,6.50647e-05,capitulation
2025-11-24T07:00:00+00:00,BTC,6.50647e-05,capitulation
2025-11-24T08:00:00+00:00,BNB,3.30995e-05,capitulation
2025-11-24T08:00:00+00:00,BTC,3.30995e-05,capitulation
2025-11-24T09:00:00+00:00,BNB,3.74e-07,capitulation
2025-11-24T09:00:00+00:00,BTC,3.74e-07,capitulation
2025-11-24T10:00:00+00:00,BNB,0.0002682708,capitulation
2025-11-24T10:00:00+00:00,BTC,0.0002682708,capitulation
2025-11-24T11:00:00+00:00,BNB,6.6305e-06,capitulation
2025-11-24T11:00:00+00:00,BTC,6.6305e-06,capitulation
2025-11-24T12:00:00+00:00,BNB,2.06371e-05,capitulation
2025-11-24T12:00:00+00:00,BTC,2.06371e-05,capitulation
2025-11-24T13:00:00+00:00,BNB,3.6973e-06,capitulation
2025-11-24T13:00:00+00:00,BTC,3.6973e-06,capitulation
2025-11-24T14:00:00+00:00,BNB,0.0003979846,capitulation
2025-11-24T14:00:00+00:00,BTC,0.0003979846,capitulation
2025-11-24T15:00:00+00:00,BNB,0.0001845358,capitulation
2025-11-24T15:00:00+00:00,BTC,0.0001845358,capitulation
2025-11-24T16:00:00+00:00,BNB,7.35484e-05,capitulation
2025-11-24T16:00:00+00:00,BTC,7.35484e-05,capitulation
2025-11-24T17:00:00+00:00,BNB,6.83744e-05,capitulation
2025-11-24T17:00:00+00:00,BTC,6.83744e-05,capitulation
2025-11-24T18:00:00+00:00,BNB,0.000140889,capitulation
2025-11-24T18:00:00+00:00,BTC,0.000140889,capitulation
2025-11-24T19:00:00+00:00,BNB,2.96335e-05,capitulation
2025-11-24T19:00:00+00:00,BTC,2.96335e-05,capitulation
2025-11-24T20:00:00+00:00,BNB,0.0001543923,capitulation
2025-11-24T20:00:00+00:00,BTC,0.0001543923,capitulation
2025-11-24T21:00:00+00:00,BNB,0.0001580944,capitulation
2025-11-24T21:00:00+00:00,BTC,0.0001580944,capitulation
2025-11-24T22:00:00+00:00,BNB,2.58235e-05,capitulation
2025-11-24T22:00:00+00:00,BTC,2.58235e-05,capitulation
2025-11-24T23:00:00+00:00,BNB,2.19613e-05,capitulation
2025-11-24T23:00:00+00:00,BTC,2.19613e-05,capitulation
2025-11-25T00:00:00+00:00,BNB,2.8619e-05,capitulation
2025-11-25T00:00:00+00:00,BTC,2.8619e-05,capitulation
2025-11-25T01:00:00+00:00,BNB,0.0091797462,capitulation
2025-11-25T01:00:00+00:00,BTC,0.0091797462,capitulation
2025-11-25T02:00:00+00:00,BNB,1.8932e-05,capitulation
